accident_index,accident_severity,num_accident_in_ons,num_accident_in_same_road_type,num_accident_in_same_road,num_accident_in_same_second_road,num_casualties,num_vehicle_involved,weather_conditions,light_conditions,road_surface_conditions,carriageway_hazards,special_conditions_at_site,is_night,num_cars,num_heavy_vehicles,num_motorcycles,num_pedal_cycles,num_pedestrians,is_child_involved,is_old_involved
"""2021520200761""",3,15,7489,5,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,1
"""2020010239606""",3,91,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2020010255018""",3,54,7489,23,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2018420322199""",3,24,7489,3055,7083,1,2,1,4,1,0,0,1,1,0,1,0,0,0,0
"""2019331901142""",3,13,7489,567,7083,1,2,2,1,2,0,4,0,2,0,0,0,0,0,0
"""2020471011232""",3,29,7489,2,1,1,2,8,4,1,0,0,0,1,0,1,0,0,0,0
"""2017010078665""",3,95,1285,20,583,2,2,2,4,2,0,0,1,2,0,0,0,0,0,0
"""2020201010505""",3,47,7489,2,7083,1,1,1,4,2,0,0,0,1,0,0,0,1,0,0
"""201634WN03596""",3,40,7489,7,7083,1,1,1,4,1,0,0,1,1,0,0,0,1,0,0
"""2017010020800""",3,70,7489,1,583,1,2,1,1,1,0,0,0,2,0,0,0,0,0,1
"""2017140195997""",3,113,764,2,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016450049473""",3,36,7489,10,7083,1,2,1,7,1,0,0,0,1,0,0,1,0,0,0
"""2017051701668""",3,92,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201631C033516""",3,70,7489,8,8,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"""2017010047319""",3,90,7489,23,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021010349738""",3,70,7489,10,7083,1,2,8,1,2,0,0,0,2,0,0,0,0,0,0
"""2016430315961""",3,21,7489,3,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
"""2021010292224""",3,91,7489,567,7083,1,2,8,1,1,0,0,0,1,0,0,1,0,0,0
"""2021401030952""",3,39,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021131049375""",3,46,7489,1,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016210110115""",3,3,764,17,1,3,3,1,7,1,0,0,1,3,0,0,0,0,0,0
"""2017010068222""",3,57,7489,23,2,1,2,1,4,1,0,0,1,2,0,0,0,0,0,0
"""2021010301038""",3,63,7489,3055,7083,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"""2016200072104""",3,40,7489,3055,7083,1,4,1,1,1,0,0,0,4,0,0,0,0,0,1
"""2016370069912""",3,24,7489,3055,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2018010085901""",3,109,7489,41,583,1,2,1,4,1,0,0,0,1,0,1,0,0,0,0
"""2019010188670""",3,66,247,34,10,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2019950000741""",3,74,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017010026719""",3,80,1285,6,7083,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0
